Talent ID,Prompt,Top Match Talent ID,Match Score,Matched Self?,Explanation
42,"Looking for a professional with the following background:
Software Architect with over 15 years of experience in the industry.

Should have experience in:
Worked in San Francisco, CA as a Software Architect handling critical responsibilities.

Skills must include:
Leadership, React, Customer Support, Project Management",42,47.74,No,
43,"Looking for a professional with the following background:
Account Executive (AE) with over 13 years of experience in the industry.

Should have experience in:
Worked in San Francisco, CA as a Account Executive (AE) handling critical responsibilities.

Skills must include:
Leadership, React, Node.js, Cloud Computing, Customer Support",59,57.45,No,
47,"Looking for a professional with the following background:
VP of Human Resources with over 1 years of experience in the industry.

Should have experience in:
Worked in Los Angeles, CA as a VP of Human Resources handling critical responsibilities.

Skills must include:
SQL, Communication, Leadership",47,59.57,No,
41,"Looking for a professional with the following background:
Executive Assistant with over 6 years of experience in the industry.

Should have experience in:
Worked in Austin, TX as a Executive Assistant handling critical responsibilities.

Skills must include:
Cloud Computing, Customer Support, Python, JavaScript, HR Management",41,53.43,No,
69,"Looking for a professional with the following background:
Executive Assistant with over 6 years of experience in the industry.

Should have experience in:
Worked in Boston, MA as a Executive Assistant handling critical responsibilities.

Skills must include:
Node.js, Salesforce, Cloud Computing, HR Management",69,53.21,No,
75,"Looking for a professional with the following background:
Professional from Germany experienced in modern technologies.

Should have experience in:
Worked in various companies across Germany.

Skills must include:
Python, Communication, Teamwork",75,56.82,No,
115,"Looking for a professional with the following background:
Elizabeth Montgomery is a professional in marketing, focused on roles such as content marketing manager. Face same to environmental seem various. Too interview economy when popular sound.

Should have experience in:
Teach couple easy traditional young sort. Very son dark professor. Night force explain wonder water alone.

Skills must include:
Email Marketing, Social Media Marketing, Content Strategy, Copywriting, SEO",115,65.74,No,
48,"Looking for a professional with the following background:
Executive Assistant with over 13 years of experience in the industry.

Should have experience in:
Worked in Miami, FL as a Executive Assistant handling critical responsibilities.

Skills must include:
Customer Support, Communication, Project Management",41,53.47,No,
49,"Looking for a professional with the following background:
Customer Education Specialist with over 5 years of experience in the industry.

Should have experience in:
Worked in Los Angeles, CA as a Customer Education Specialist handling critical responsibilities.

Skills must include:
Project Management, JavaScript, Customer Support",49,43.09,No,
45,"Looking for a professional with the following background:
Software Engineer with over 4 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Software Engineer handling critical responsibilities.

Skills must include:
JavaScript, React, Leadership, Cloud Computing",45,47.14,No,
50,"Looking for a professional with the following background:
Account Executive (AE) with over 6 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Account Executive (AE) handling critical responsibilities.

Skills must include:
HR Management, Node.js, Communication, Leadership",50,59.09,No,
80,"Looking for a professional with the following background:
Professional from Austria experienced in modern technologies.

Should have experience in:
Worked in various companies across Austria.

Skills must include:
Python, Communication, Teamwork",80,53.84,No,
117,"Looking for a professional with the following background:
Crystal Meyer is a professional in software, focused on roles such as full stack developer. Beat whole cell task. Note available year range black wrong letter.

Should have experience in:
Question cause national all expert receive somebody. Federal president police change among view sister pattern.

Skills must include:
APIs, JavaScript, SQL, React, Node.js",117,71.98,No,
44,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 3 years of experience in the industry.

Should have experience in:
Worked in Miami, FL as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
React, Cloud Computing, JavaScript",58,60.43,No,
51,"Looking for a professional with the following background:
Customer Education Specialist with over 15 years of experience in the industry.

Should have experience in:
Worked in Seattle, WA as a Customer Education Specialist handling critical responsibilities.

Skills must include:
Customer Support, Salesforce, Node.js, Communication, HR Management, SQL",51,54.23,No,
52,"Looking for a professional with the following background:
Software Engineer with over 9 years of experience in the industry.

Should have experience in:
Worked in Los Angeles, CA as a Software Engineer handling critical responsibilities.

Skills must include:
Leadership, HR Management, Python, Cloud Computing, Node.js",70,39.5,No,
53,"Looking for a professional with the following background:
Executive Assistant with over 5 years of experience in the industry.

Should have experience in:
Worked in Chicago, IL as a Executive Assistant handling critical responsibilities.

Skills must include:
SQL, Cloud Computing, Project Management, React, Leadership",53,42.12,No,
54,"Looking for a professional with the following background:
Customer Education Specialist with over 8 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Customer Education Specialist handling critical responsibilities.

Skills must include:
HR Management, SQL, Communication, Customer Support",54,42.76,No,
55,"Looking for a professional with the following background:
Account Executive (AE) with over 15 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Account Executive (AE) handling critical responsibilities.

Skills must include:
Cloud Computing, HR Management, Customer Support, Python, Communication",50,53.88,No,
56,"Looking for a professional with the following background:
Executive Assistant with over 14 years of experience in the industry.

Should have experience in:
Worked in Seattle, WA as a Executive Assistant handling critical responsibilities.

Skills must include:
Customer Support, Leadership, Python",56,59.65,No,
57,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 15 years of experience in the industry.

Should have experience in:
Worked in Los Angeles, CA as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
Cloud Computing, Communication, Leadership",58,65.7,No,
58,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 12 years of experience in the industry.

Should have experience in:
Worked in Miami, FL as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
Python, Communication, React, HR Management, Cloud Computing, Node.js",58,64.39,No,
59,"Looking for a professional with the following background:
Account Executive (AE) with over 12 years of experience in the industry.

Should have experience in:
Worked in Chicago, IL as a Account Executive (AE) handling critical responsibilities.

Skills must include:
HR Management, React, Python",59,55.62,No,
60,"Looking for a professional with the following background:
Customer Education Specialist with over 12 years of experience in the industry.

Should have experience in:
Worked in Seattle, WA as a Customer Education Specialist handling critical responsibilities.

Skills must include:
Project Management, Communication, Node.js",51,49.02,No,
61,"Looking for a professional with the following background:
Software Architect with over 9 years of experience in the industry.

Should have experience in:
Worked in Seattle, WA as a Software Architect handling critical responsibilities.

Skills must include:
JavaScript, Project Management, Node.js, React, Customer Support, Leadership",61,44.59,No,
62,"Looking for a professional with the following background:
Software Engineer with over 13 years of experience in the industry.

Should have experience in:
Worked in Los Angeles, CA as a Software Engineer handling critical responsibilities.

Skills must include:
React, Node.js, HR Management",70,37.16,No,
63,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 8 years of experience in the industry.

Should have experience in:
Worked in Seattle, WA as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
Node.js, Python, Customer Support",63,57.55,No,
64,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 14 years of experience in the industry.

Should have experience in:
Worked in Austin, TX as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
Salesforce, Leadership, Customer Support, Node.js",58,53.36,No,
65,"Looking for a professional with the following background:
Vice President (VP) of Sales with over 14 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Vice President (VP) of Sales handling critical responsibilities.

Skills must include:
Python, Project Management, JavaScript, Customer Support, React",63,62.17,No,
66,"Looking for a professional with the following background:
Customer Education Specialist with over 12 years of experience in the industry.

Should have experience in:
Worked in New York, NY as a Customer Education Specialist handling critical responsibilities.

Skills must include:
Cloud Computing, Salesforce, HR Management, Customer Support",66,43.13,No,
67,"Looking for a professional with the following background:
Customer Education Specialist with over 12 years of experience in the industry.

Should have experience in:
Worked in Miami, FL as a Customer Education Specialist handling critical responsibilities.

Skills must include:
Project Management, Salesforce, Leadership",49,46.32,No,
